iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KO","COCA-COLA","Consumer Staples","Equity","3,930,972,618.54","0.48","3,930,972,618.54","50,120,778.00","78.43","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,648,582,633.69","0.45","3,648,582,633.69","3,489,363.00","1,045.63","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,608,527,589.80","0.44","3,608,527,589.80","32,132,926.00","112.30","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,595,109,694.11","0.44","3,595,109,694.11","3,882,953.00","925.87","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,448,416,276.43","0.42","3,448,416,276.43","20,153,213.00","171.11","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,351,401,423.16","0.41","3,351,401,423.16","11,749,409.00","285.24","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,169,374,753.64","0.39","3,169,374,753.64","40,037,579.00","79.16","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,072,021,143.78","0.38","3,072,021,143.78","17,377,651.00","176.78","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","2,992,224,670.50","0.37","2,992,224,670.50","1,696,994.00","1,763.25","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,985,460,046.45","0.37","2,985,460,046.45","6,045,277.00","493.85","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,961,967,542.39","0.36","2,961,967,542.39","15,575,367.00","190.17","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,920,478,200.38","0.36","2,920,478,200.38","22,623,582.00","129.09","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","2,799,163,962.43","0.34","2,799,163,962.43","12,101,353.00","231.31","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,797,959,061.05","0.34","2,797,959,061.05","13,813,671.00","202.55","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,765,241,158.06","0.34","2,765,241,158.06","17,693,014.00","156.29","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,615,643,926.10","0.32","2,615,643,926.10","9,219,753.00","283.70","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,584,256,259.48","0.32","2,584,256,259.48","6,325,899.00","408.52","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,570,850,861.08","0.32","2,570,850,861.08","54,594,412.00","47.09","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","2,560,485,345.32","0.31","2,560,485,345.32","1,910,867.00","1,339.96","United States","NASDAQ","USD","1.00","USD","-"
