iShares Russell 2000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SNEX","STONEX GROUP INC","Financials","Equity","209,970,173.40","0.27","209,970,173.40","1,736,726.00","120.90","United States","NASDAQ","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","209,733,480.45","0.27","209,733,480.45","663,105.00","316.29","United States","NYSE","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","209,640,947.20","0.27","209,640,947.20","4,226,632.00","49.60","United States","NYSE","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","209,455,544.00","0.27","209,455,544.00","5,302,672.00","39.50","United States","NYSE","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","209,055,997.37","0.27","209,055,997.37","2,814,053.00","74.29","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","206,736,149.73","0.26","206,736,149.73","2,878,131.00","71.83","United States","NYSE","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","206,600,035.74","0.26","206,600,035.74","675,318.00","305.93","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","203,860,226.32","0.26","203,860,226.32","612,616.00","332.77","United States","NYSE","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","202,797,213.92","0.26","202,797,213.92","608,489.00","333.28","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","199,631,470.46","0.25","199,631,470.46","199,631,470.00","1.00","United States","-","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","199,424,724.28","0.25","199,424,724.28","8,249,213.00","24.18","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","198,595,588.93","0.25","198,595,588.93","8,237,063.00","24.11","United States","NASDAQ","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","195,396,911.18","0.25","195,396,911.18","8,134,759.00","24.02","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","194,065,434.60","0.25","194,065,434.60","3,799,245.00","51.08","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","193,761,386.00","0.25","193,761,386.00","869,080.00","222.95","United States","NYSE","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","193,428,030.51","0.25","193,428,030.51","2,916,147.00","66.33","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","190,546,192.23","0.24","190,546,192.23","190,546,192.00","100.00","United States","-","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","190,298,647.80","0.24","190,298,647.80","22,493,930.00","8.46","United States","NYSE","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","189,758,538.20","0.24","189,758,538.20","645,130.00","294.14","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","189,569,544.84","0.24","189,569,544.84","8,620,716.00","21.99","United States","NYSE","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","185,422,819.80","0.24","185,422,819.80","2,629,365.00","70.52","United States","NYSE","USD","1.00","USD","-"
